name,rating_count,rating_average,id
STK Meatpacking,56.0,3.39286,35689
Please Don't Tell Calle San Marcos,14.0,3.35714,60882
Common Ground NYC,10.0,3.3,59229
Aromi,47.0,4.95745,59847
Alma Negra,46.0,4.97826,60050
Le Rock,36.0,4.97222,60459
Legacy Records Special Events,14.0,5.0,3685
Deux Chats,10.0,5.0,62570
K32 Rooftop,6.0,5.0,63525
KanaHashi,6.0,5.0,59637
The Four Horsemen,5002.0,4.87225,2492
Corto,3752.0,4.89152,4926
JUA,2766.0,4.85069,8266
Razza,2578.0,4.86268,1852
Otis,1759.0,4.88971,5910
Pizza Moto,1541.0,4.85788,1502
Etcetera Etcetera,1508.0,4.85809,33863
Ras Plant Based,1085.0,4.8977,10473
Franks Wine Bar,950.0,4.85684,3431
Sushi Lin,689.0,4.90276,6429
Pomp & Circumstance,636.0,4.85849,6383
Bo Peep Cocktail & Highball Store,624.0,4.86859,51236
The Polo Bar,527.0,4.926,6439
Casellula,472.0,4.91525,54471
The Kitchen Table at The Modern,391.0,4.92839,2789
Sundays Well,346.0,4.87572,33634
Runner Up,292.0,4.90753,59994
Panchitas Place,278.0,4.88849,32437
TALEA Beer Co.,194.0,4.85052,58916
Emma's Torch,151.0,4.86755,53738
OKONOMI/YUJI Ramen,139.0,4.89928,59622
Agi's Counter,129.0,4.86822,59469
Arden,86.0,4.86047,58865
NUBIANI,73.0,4.93151,60933
ostudio,58.0,4.94828,60371
Santa Fe BK,32.0,4.90625,63527
Johnny Pepperoni,27.0,4.85185,59826
The Fly,27.0,4.88889,5644
Beyond Meat & P.S. Kitchen,13.0,4.92308,46981
West End,9.0,4.88889,60791
Green Pear Heights,9.0,4.88889,59832
Lilia,33958.0,4.77184,418
Le Bernardin,18277.0,4.79645,1387
Keens Steakhouse,15887.0,4.75364,3413
Sushi Seki Chelsea,10376.0,4.75357,49
Miss Ada,9934.0,4.80642,1246
Peak,7827.0,4.75674,10087
Le Crocodile,6017.0,4.76517,8302
Kings Co Imperial - Williamsburg,5793.0,4.83118,608
Roman's,5170.0,4.84081,1003
Evelina,4725.0,4.77968,1851
Red Hook Tavern,4385.0,4.83603,6377
Shukette,4331.0,4.83145,8579
Traif,4228.0,4.75568,707
Oxalis,4041.0,4.83346,3911
LaRina Pastificio & Vino,3922.0,4.76543,611
Kochi,3857.0,4.76536,8346
Haenyeo,3651.0,4.82416,4951
Sofreh,3255.0,4.82488,27154
Pasta Louise,2973.0,4.81265,41761
Hart’s,2781.0,4.77562,1386
Cellar 335,2611.0,4.78437,1527
Buttermilk Channel,2609.0,4.80107,5186
Roberta's,2568.0,4.78972,6003
St. Anselm,2554.0,4.7592,32467
Aita Restaurant,2553.0,4.77164,3246
Trattoria Trecolori,2512.0,4.76911,50763
LaLou,2440.0,4.79549,6725
Colonia Verde,2426.0,4.82811,4626
The Modern,2398.0,4.8015,7369
Francie,2213.0,4.7962,17392
Tonchin New York,2206.0,4.79918,35883
MONTESACRO,1990.0,4.77839,6689
West Bank Cafe,1664.0,4.78786,7489
Sweetwater Restaurant,1644.0,4.76399,8767
Aldo Sohm Wine Bar,1580.0,4.77722,1388
Hatsuhana Sushi Restaurant,1562.0,4.79577,36583
Leland Eating and Drinking House,1541.0,4.8209,37987
Madre,1477.0,4.77387,6094
Yakitori Torishin,1414.0,4.82744,1330
Bar Bête,1386.0,4.81457,8475
win son,1366.0,4.84993,8556
Nami Nori Williamsburg,1364.0,4.77053,54466
Laser Wolf Brooklyn,1212.0,4.76238,58848
Leo,1208.0,4.80132,34822
Nura,1130.0,4.77434,54336
Mari,1088.0,4.80055,54791
Sagaponack,1065.0,4.75117,36910
Winona's,1032.0,4.76357,42650
The Marshal,1030.0,4.75825,35884
Maison Premiere,1028.0,4.81907,51628
El Parador Cafe,1021.0,4.78355,6559
Santo Brúklin,1013.0,4.79072,10729
Bonnie's,1011.0,4.80712,54591
Cozy Royale,1010.0,4.76436,32431
Le Fond,979.0,4.76915,1191
Michael's Restaurant,934.0,4.83191,50806
Top Quality,933.0,4.76527,32439
Sushi Zo Midtown,843.0,4.80902,1359
Greenpoint Fish & Lobster Co.,812.0,4.77709,52205
FRADEI,807.0,4.84139,49753
Krupa Grocery,754.0,4.82095,53378
Ardesia Wine Bar,747.0,4.84471,36590
Pepe Giallo,736.0,4.75679,50277
Place des Fêtes,723.0,4.83956,59848
SUSHI ANN,712.0,4.76826,41951
al di là Trattoria,539.0,4.77551,53693
Bar Camillo,535.0,4.77944,25112
Nonna Dora's,480.0,4.77083,59960
J. Bespoke,416.0,4.82212,6105
Coletta,412.0,4.78155,58982
LORE,374.0,4.78342,58523
Takumen,364.0,4.81044,33632
Sama Street,317.0,4.8265,6905
Tacombi - Williamsburg,315.0,4.76508,7942
The Franklin,314.0,4.77389,9849
Tia Pol,313.0,4.82748,55569
Rucola Restaurant,306.0,4.78758,50791
Bar Goto Niban,291.0,4.82474,32621
Turntable LP Bar & Karaoke,287.0,4.78746,38015
Karczma Polish Restaurant,277.0,4.79061,51649
Omakase by korami,245.0,4.82857,51762
Sanyuu West,238.0,4.78992,58894
Patsy’s Pizza,236.0,4.75424,28931
Cull & Pistol,235.0,4.76596,52635
San Giuseppe,219.0,4.81735,26697
El Pingüino,198.0,4.79293,58513
Salinas,196.0,4.83163,50746
53,188.0,4.7766,60303
Oita - NYC,128.0,4.77344,58607
The Landing at Penn1,103.0,4.76699,58864
Sally's,101.0,4.78218,43197
Dinner Party,92.0,4.83696,60228
Koko's,89.0,4.76404,55248
Chino Grande,84.0,4.78571,60650
Lucali NY,80.0,4.8125,54876
Sobre Masa,69.0,4.76812,60200
Maggie's Place,62.0,4.80645,54657
The Rusty Face,56.0,4.76786,59041
We Got Company,55.0,4.76364,37479
Shan山川,43.0,4.7907,60346
The Gem Saloon,42.0,4.7619,55712
Osteria Brooklyn,31.0,4.80645,62902
Tonchin Brooklyn,30.0,4.83333,59933
Whitmans- Hudson Yards,29.0,4.75862,60105
Peppercorn Station,17.0,4.82353,60104
Somtum Der - Red Hook,14.0,4.78571,61155
Friends and Lovers,9.0,4.77778,51558
Bar Bolinas,8.0,4.75,39403
Llama Inn,17367.0,4.71734,571
Olmsted,16912.0,4.7312,1124
ATOBOY,16145.0,4.71836,587
Misi,14608.0,4.71564,3015
Rezdôra,12412.0,4.65147,5771
Oxomoco,10543.0,4.7495,2601
Cookshop,9785.0,4.74727,5230
Claro,8458.0,4.72842,1621
Chez Ma Tante,8183.0,4.72846,1220
Fausto,7712.0,4.74728,1866
Her Name is Han,7428.0,4.72523,1010
Emmy Squared Williamsburg,7003.0,4.72883,486
Emily BK,6660.0,4.73724,405
Rule of Thirds,5064.0,4.65541,6012
Ci Siamo,4771.0,4.71767,54724
Karasu,4758.0,4.67297,519
The Bar Room at The Modern,4696.0,4.74532,7295
Di An Di,4684.0,4.74957,2727
Le Pavillon,4574.0,4.71404,50955
Le Bilboquet NY,4274.0,4.67993,10665
Frankies 457 Spuntino,4107.0,4.66277,650
La Pecora Bianca - Midtown,3774.0,4.66031,29886
Xixa,3693.0,4.68698,708
Avra Madison,3595.0,4.73491,54578
PS Kitchen,3420.0,4.67164,5856
Sakagura,3039.0,4.65877,2941
ViceVersa,3025.0,4.7481,1578
Speedy Romeo - Brooklyn,3016.0,4.68667,469
Walter's,2966.0,4.67768,653
Morso Restaurant,2945.0,4.73005,3691
Diner,2797.0,4.65999,2038
Locanda Vini & Olii,2664.0,4.72598,927
44 & X Hell's Kitchen,2573.0,4.69413,7433
Insa,2494.0,4.68484,450
Barbes Restaurant,2327.0,4.72497,5210
Yoon Haeundae Galbi,2021.0,4.65611,49338
Orale Mexican Kitchen (Hoboken),1978.0,4.66178,3682
The Orchard Townhouse,1952.0,4.66752,8275
Dino & Harry's Steak House,1887.0,4.69687,3782
Fresco by Scotto,1877.0,4.72616,51238
Avra Estiatorio,1835.0,4.69537,54475
Mayfield,1832.0,4.65229,2238
Victor's Cafe,1785.0,4.74286,46970
Cafe Paulette,1771.0,4.67024,7440
THE GRILL,1693.0,4.74778,10389
Osamil,1588.0,4.66625,5399
Peter Luger Steak House,1543.0,4.69605,4287
Pheasant,1529.0,4.74559,3073
The Ragtrader,1508.0,4.66313,43594
Kitchen Step,1420.0,4.72465,4931
Antique Bar & Bakery,1387.0,4.73756,42688
Sociale,1369.0,4.68079,3301
Bar Blondeau,1357.0,4.65512,1054
LittleMad,1306.0,4.67075,52416
Izakaya MEW,1270.0,4.73858,30189
Take31,1243.0,4.6959,5225
Olea,1212.0,4.7467,49188
Gersi BKL,1167.0,4.7078,26425
Juban,1165.0,4.69871,1285
Street Taco,1151.0,4.67159,32211
Maki Kosaka,1142.0,4.7014,33926
Tabaré Williamsburg,1107.0,4.71183,1403
Raines Law Room at the William,1057.0,4.66604,8283
The Lobster Club,1020.0,4.66961,35694
Hamilton Inn,1007.0,4.65343,6084
Le Fanfare,1007.0,4.65442,6076
HYUN,983.0,4.74364,9694
Fulgurances,977.0,4.72057,50956
Casa Ora,954.0,4.67505,7563
Anella,883.0,4.68969,3688
Mel's,868.0,4.67972,58524
Loreto Italian Kitchen & Bar,834.0,4.74341,50166
Rosemary's East,822.0,4.65693,51293
Mémé Mediterranean,760.0,4.72632,45003
REUNION,734.0,4.71117,6043
Northern Soul,725.0,4.65379,42404
The Ryerson,701.0,4.68759,8247
Hamilton Pork,672.0,4.69643,3144
Porchlight,657.0,4.67123,50808
Fasano Restaurant New York,641.0,4.73947,58119
Aperitivo,639.0,4.67293,51696
Chela,636.0,4.68082,39821
Stone Park Cafe,585.0,4.74017,3819
Wenwen,567.0,4.70194,59536
Achilles Heel,525.0,4.73714,37294
Cask Bar + Kitchen,510.0,4.67059,10582
MyMoon Restaurant & Events Venue,503.0,4.69781,3103
Graziella's Restaurant & Wood Burning Pizza,500.0,4.724,6748
Sweet Polly,498.0,4.74498,4108
Stingray Lounge,494.0,4.68016,47250
Beyond Sushi,489.0,4.7362,42570
Jukai,480.0,4.68333,9594
Banc Cafe,476.0,4.72269,50425
Olivier Bistro,466.0,4.70601,6272
Gabriel Kreuther,437.0,4.67963,10401
The Chemistry Room by Sushi Lab,424.0,4.73113,54290
Casa Enrique,421.0,4.73159,58337
Mizu Sushi,411.0,4.67153,32915
La Boheme-Hoboken,373.0,4.68633,58572
Negril BK,368.0,4.72283,58756
The Parlour Room,367.0,4.71935,54644
Eyval,355.0,4.73803,59419
Elmo,351.0,4.68946,55520
The Lambs Club,341.0,4.68622,55519
Tørst,331.0,4.7432,37836
Eavesdrop,316.0,4.74367,58369
Little Choc Apothecary,315.0,4.66984,1471
Amami Bar & Restaurant,292.0,4.66438,6771
Ada's Place,281.0,4.66548,3034
Cho Dang Gol,274.0,4.74818,28422
Coast and Valley,272.0,4.73162,6163
TOWA,270.0,4.67037,59063
TailGate Outdoor Sports Bar,268.0,4.67537,45009
Grand Vin,264.0,4.68939,58797
Mojo Omakase,264.0,4.68939,56588
Fort Defiance,260.0,4.70385,1375
Cote,257.0,4.7393,35676
Kaiseki Room By Yamada,232.0,4.66379,54576
ENSENADA,232.0,4.73276,10380
Tir Na Nog Bar and Grill,225.0,4.67111,54364
Chez Zou,221.0,4.70588,59618
Chickie's,183.0,4.66667,54532
Bogota Latin Bistro,175.0,4.65143,58525
Chola Restaurant,167.0,4.69461,54355
Souvlaki GR Midtown,166.0,4.66867,8238
Pilar Cuban Restaurant,165.0,4.71515,43108
Sushi Blossoms,160.0,4.71875,59048
OTB,144.0,4.65972,33092
Greenwood Park,141.0,4.68794,27001
Cooper's Craft and Cocktails: Chelsea,138.0,4.67391,43199
Hummus Kitchen - Hell's Kitchen,121.0,4.70248,49385
Zack's Restaurant,104.0,4.73077,59956
Allswell,103.0,4.69903,39366
Ipanema Restaurant,88.0,4.67045,53412
Medusa Greek Tavern,85.0,4.68235,55508
Feile,70.0,4.65714,51225
La Devozione,65.0,4.66154,55740
baba cool,64.0,4.67188,29268
Birds of a Feather,58.0,4.74138,63241
Concord Hill,52.0,4.67308,4457
OMOMO,51.0,4.66667,10018
Sicily,48.0,4.70833,60608
Bar Orai,42.0,4.69048,60411
Bluestone Lane - Manhattan West,40.0,4.65,26719
Zou Zou's,34.0,4.67647,59617
Wollensky's Grill,33.0,4.69697,60691
ammazzacaffè,32.0,4.65625,60283
Motorino - Williamsburg,29.0,4.68966,54378
Creatures of All Kind,21.0,4.66667,60775
Beyond Meat & Gregorys - 6th Ave,18.0,4.66667,46978
The Beyond Meatball™ Shop NYC,17.0,4.70588,34733
Northern Bell,14.0,4.71429,58252
Barbounia,12.0,4.66667,60357
Cedric's At The Shed,11.0,4.72727,59551
Peakaboo,10.0,4.7,60380
Hummus Market,2.0,5.0,52785
Flatiron Wines & Spirits,1.0,5.0,27175
New Wonjo,1.0,5.0,10305
The Water Hazard Bar + Lounge,,5.0,52668
Neighborhood Hero Season Pass,,5.0,5231
Dickson's Farmstand Meats,,5.0,51237
Sunday in Brooklyn / Williamsburg,16197.0,4.58949,756
Estiatorio Milos Hudson Yards,8238.0,4.58874,4970
Marta,7702.0,4.64581,3287
Upland,6998.0,4.60246,8338
L'Avenue at Saks,6351.0,4.59203,4707
La Pecora Bianca - Nomad,5996.0,4.58806,26699
Faun,5940.0,4.59882,591
Sushi Yasuda,5635.0,4.64508,3770
Barano,5135.0,4.63369,612
Debajo,4695.0,4.623,1540
Cosme,4301.0,4.59893,35675
"PLANTA Queen, New York",4169.0,4.64356,51656
Tacombi - Flatiron,3856.0,4.55005,108
Whitney Studio Bar,3526.0,4.61628,4341
TAK Room,3296.0,4.62439,3625
Marlow and Sons,3170.0,4.60599,417
Mark's Off Madison,2718.0,4.6365,42398
Grand Army,2716.0,4.62077,1317
Otway,2554.0,4.5971,976
La Bonne Soupe,2529.0,4.62317,7043
Bricolage,2444.0,4.58429,5352
La Pecora Bianca - Bryant Park,2330.0,4.57296,9982
Red Hook Lobster Pound,1982.0,4.62765,1292
Boqueria Flatiron,1845.0,4.58374,27218
Yakitori Nonono,1754.0,4.64253,28460
Dinosaur Bar-B-Que - Brooklyn,1742.0,4.59931,3889
Lamalo,1503.0,4.56354,6511
Dino,1465.0,4.61229,2011
Lodi,1457.0,4.59025,53142
Strangeways,1407.0,4.61194,29262
Public Records,1356.0,4.60988,5914
